"us"	91040
"gb"	60231
"de"	50234
"ca"	47229
"fr"	45786
"au"	39078
"nl"	36038
"es"	34668
"br"	34619
"se"	33264
"cn"	31185
"ch"	30867
"be"	29512
"in"	28525
"pl"	28106
"jp"	27654
"ua"	27644
"cz"	27473
"dk"	27432
"fi"	27242
"no"	27130
"nz"	23737
"it"	23472
"at"	23144
"ie"	21833
"ar"	21339
"hu"	18469
"mx"	18170
"ro"	17631
"tw"	17444
"ru"	16868
"za"	16207
"ve"	15386
"si"	15272
"gr"	15237
"cl"	14739
"vn"	14712
"th"	14446
"rs"	13549
"il"	12161
"my"	12033
"jm"	11300
"ee"	7817
"ph"	7613
"ba"	7264
"gi"	6983
"pt"	5841
"by"	4499
"ec"	4189
"co"	4116
"am"	3615
"bg"	3345
"sg"	2857
"lk"	2242
"pe"	2190
"sk"	2178
"is"	1918
"id"	1700
"tr"	1641
"mt"	1479
"lt"	1267
"np"	1193
"kr"	1165
"uy"	1148
"eg"	1051
"pa"	1036
"hr"	889
"ae"	855
"lu"	829
"ng"	646
"az"	584
"cr"	515
"lv"	505
"kh"	427
"ke"	379
"pk"	367
"jo"	358
"cu"	332
"bd"	327
"sv"	321
"kz"	289
"et"	275
"md"	273
"bs"	269
"dz"	268
"rw"	266
"bj"	250
"tn"	240
"gt"	234
"do"	211
"mk"	202
"ir"	187
"sc"	169
"aq"	160
"py"	130
"ug"	129
"cy"	114
"ss"	113
"sa"	110
"bo"	108
"ni"	102
"sn"	99
"lb"	98
"ps"	87
"la"	83
"qa"	82
"ma"	81
"lr"	71
"gh"	66
"mm"	65
"al"	60
"tj"	60
"hn"	56
"me"	54
"va"	52
"bm"	51
"tt"	49
"tm"	44
"ao"	38
"bw"	36
"ly"	32
"sy"	29
"tz"	27
"mg"	27
"ge"	27
"ht"	26
"zw"	26
"mz"	26
"ky"	25
"mv"	23
"zm"	22
"kw"	21
"om"	20
"bf"	19
"kg"	19
"im"	19
"vu"	17
"cm"	17
"fo"	15
"so"	15
"ls"	13
"sz"	13
"iq"	13
"uz"	13
"cf"	12
"mn"	11
"ad"	11
"mw"	11
"je"	10
"gl"	10
"na"	10
"kp"	10
"mr"	7
"mu"	7
"af"	6
"cd"	6
"bz"	6
"to"	5
"bh"	4
"fj"	4
"sl"	4
"ml"	4
"ga"	4
"tl"	3
"bt"	3
"tg"	3
"li"	2
"ms"	2
"sh"	2
"lc"	2
"ne"	2
"cv"	2
"sd"	2
"ci"	2
"sb"	2
"nr"	2
"eh"	1
"mh"	1
"dj"	1
"gy"	1
"mc"	1
